INFO 2024-09-14 12:19:49,344 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-14 12:19:49,344 autoreload Waiting for apps ready_event.
DEBUG 2024-09-14 12:19:49,352 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-14 12:19:49,375 autoreload Watching dir C:\Users\sanga\development\taskly\templates with glob **/*.
DEBUG 2024-09-14 12:19:49,375 autoreload Watching dir C:\Users\sanga\development\taskly\locale with glob **/*.mo.
DEBUG 2024-09-14 12:19:49,375 autoreload Watching dir C:\Users\sanga\development\taskly\todo\locale with glob **/*.mo.
DEBUG 2024-09-14 12:19:49,568 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\asyncio\log.py first seen with mtime 1722958350.0
DEBUG 2024-09-14 12:19:49,596 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\_compression.py first seen with mtime 1722958350.0
DEBUG 2024-09-14 12:19:49,596 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1725620851.3435607
DEBUG 2024-09-14 12:19:49,596 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\operator.py first seen with mtime 1722958352.0
DEBUG 2024-09-14 12:19:49,596 autoreload File C:\Users\sanga\development\taskly\todo\admin.py first seen with mtime 1725811070.3169036
DEBUG 2024-09-14 12:19:49,596 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\sysconfig.py first seen with mtime 1722958352.0
DEBUG 2024-09-14 12:19:49,596 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\mysql\features.py first seen with mtime 1725620851.3592489
DEBUG 2024-09-14 12:19:49,596 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1725620851.3435607
DEBUG 2024-09-14 12:19:49,596 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\thread.py first seen with mtime 1722958350.0
DEBUG 2024-09-14 12:19:49,596 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\wsgiref\__init__.py first seen with mtime 1722958352.0
DEBUG 2024-09-14 12:19:49,596 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\selectors.py first seen with mtime 1722958352.0
DEBUG 2024-09-14 12:19:49,596 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\quopri.py first seen with mtime 1722958352.0
DEBUG 2024-09-14 12:19:49,596 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\ast.py first seen with mtime 1722958350.0
DEBUG 2024-09-14 12:19:49,596 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1725620851.3116481
DEBUG 2024-09-14 12:19:49,596 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\inspect.py first seen with mtime 1725620851.5828
DEBUG 2024-09-14 12:19:49,599 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\platform.py first seen with mtime 1722958352.0
DEBUG 2024-09-14 12:19:49,599 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1725620848.7737286
DEBUG 2024-09-14 12:19:49,600 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\functools.py first seen with mtime 1722958350.0
DEBUG 2024-09-14 12:19:49,600 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1725620851.3435607
DEBUG 2024-09-14 12:19:49,601 autoreload File C:\Users\sanga\AppData\Local\Programs\Python\Python312\Lib\site-packages\MySQLdb\_mysql.cp312-win_amd64.pyd first seen with mtime 1725845621.676537
